Name,Timestamp,Time Delay (s),Number Entered
muskan,2025-08-03 16:31:41,2.79,8
muskan,2025-08-03 16:31:42,1.54,9
muskan,2025-08-03 16:31:43,0.71,6
muskan,2025-08-03 16:31:44,1.50,4
muskan,2025-08-03 16:31:45,0.70,5
muskan,2025-08-03 16:31:46,0.68,6
muskan,2025-08-03 16:31:46,0.55,7
muskan,2025-08-03 16:31:47,0.77,2
muskan,2025-08-03 16:31:48,0.54,3
muskan,2025-08-03 16:31:48,0.45,4
muskan,2025-08-03 16:31:49,0.83,5
muskan,2025-08-03 16:31:50,0.60,6
muskan,2025-08-03 16:31:51,0.92,1
muskan,2025-08-03 16:31:51,0.44,2
muskan,2025-08-03 16:31:52,0.57,3
muskan,2025-08-03 16:31:52,0.44,4
muskan,2025-08-03 16:31:52,0.53,5
muskan,2025-08-03 16:31:53,0.56,6
muskan,2025-08-03 16:31:54,0.54,7
muskan,2025-08-03 16:31:54,0.47,8
muskan,2025-08-03 16:32:00,6.15,5
muskan,2025-08-03 16:32:04,4.25,3
muskan,2025-08-03 16:32:07,2.36,6
muskan,2025-08-03 16:32:09,2.56,8
muskan,2025-08-03 16:32:11,1.57,2
muskan,2025-08-03 16:32:12,0.91,4
muskan,2025-08-03 16:32:13,0.83,5
muskan,2025-08-03 16:32:13,0.52,6
muskan,2025-08-03 16:32:14,0.49,7
muskan,2025-08-03 16:32:14,0.45,8
muskan,2025-08-03 16:32:15,0.74,9
muskan,2025-08-03 16:32:16,0.79,2
muskan,2025-08-03 16:32:16,0.72,4
muskan,2025-08-03 16:32:17,0.61,5
muskan,2025-08-03 16:32:18,0.95,5
muskan,2025-08-03 16:32:19,0.68,6
muskan,2025-08-03 16:32:20,1.00,6
muskan,2025-08-03 16:32:20,0.85,7
muskan,2025-08-03 16:32:21,0.80,8
muskan,2025-08-03 16:32:23,1.28,5
muskan,2025-08-03 16:32:23,0.79,4
muskan,2025-08-03 16:32:24,0.71,2
muskan,2025-08-03 16:32:25,0.77,8
muskan,2025-08-03 16:32:26,0.67,9
muskan,2025-08-03 16:32:26,0.66,0
muskan,2025-08-03 16:32:28,1.60,6
muskan,2025-08-03 16:32:29,1.04,4
muskan,2025-08-03 16:32:30,0.77,3
muskan,2025-08-03 16:32:30,0.70,6
muskan,2025-08-03 16:32:31,0.99,2
muskan,2025-08-03 16:32:32,0.91,3
muskan,2025-08-03 16:32:33,0.92,4
muskan,2025-08-03 16:32:34,0.80,5
muskan,2025-08-03 16:32:35,0.96,6
muskan,2025-08-03 16:32:36,0.82,8
muskan,2025-08-03 16:32:36,0.74,9
muskan,2025-08-03 16:32:38,1.30,1
muskan,2025-08-03 16:32:38,0.68,2
muskan,2025-08-03 16:32:39,0.84,3
muskan,2025-08-03 16:32:40,0.64,4
muskan,2025-08-03 16:32:40,0.62,5
muskan,2025-08-03 16:32:41,0.62,6
muskan,2025-08-03 16:32:42,0.81,7
muskan,2025-08-03 16:32:43,0.94,8
muskan,2025-08-03 16:32:44,1.43,9
muskan,2025-08-03 16:32:46,1.50,7
muskan,2025-08-03 16:32:47,0.80,6
muskan,2025-08-03 16:32:47,0.79,5
muskan,2025-08-03 16:32:48,0.70,4
muskan,2025-08-03 16:32:49,0.66,3
muskan,2025-08-03 16:32:50,0.99,2
muskan,2025-08-03 16:32:51,0.86,2
muskan,2025-08-03 16:32:52,1.08,1
muskan,2025-08-03 16:32:52,0.72,3
muskan,2025-08-03 16:32:53,1.03,3
muskan,2025-08-03 16:32:54,0.71,4
muskan,2025-08-03 16:32:57,3.24,5
